first_name,last_name,dob,club,position,price
ronael,pierre-gabriel,13/06/1998,1. fsv mainz 05,defense,1.2
ruben,vargas,05/08/1998,fc augsburg,midfield,1.6
salih,özcan,11/01/1998,borussia dortmund,midfield,3.2
sebastien,haller,22/06/1994,borussia dortmund,attack,6
solomon,bonnah,19/08/2003,rb leipzig,defense,0.5
steffen,tigges,31/07/1998,1. fc köln,attack,1.6
stevan,jovetic,02/11/1989,hertha bsc,attack,2.2
timo,baumgartl,04/03/1996,1. fc union berlin,defense,2.2
tobias,strobl,12/05/1990,fc augsburg,midfield,1
wahid,faghir,29/07/2003,vfb stuttgart,attack,1
yussuf,poulsen,15/06/1994,rb leipzig,attack,3
