first_name,last_name,dob,club,position,points,price
ricardo,pepi,09/01/2003,fc augsburg,attack,-4,1.8
gideon,jung,12/09/1994,spvgg greuther fürth,defense,2,1.2
philipp,tschauner,03/11/1985,rb leipzig,goal,2,0.5
romario,rösch,01/07/1999,1. fsv mainz 05,midfield,2,0.5
fisnik,asllani,08/08/2002,tsg hoffenheim,attack,4,0.5
kevin-prince,boateng,06/03/1987,hertha bsc,midfield,17,2.2
dominik,kohr,31/01/1994,1. fsv mainz 05,midfield,80,1.7
taiwo,awoniyi,12/08/1997,1. fc union berlin,attack,198,2
tjark,ernst,15/03/2003,vfl bochum,goal,nan,0.5
tom,weilandt,27/04/1992,vfl bochum,midfield,nan,0.8
