first_name,last_name,dob,points_2019,points_2020,points_2021,club,position,price
sardar,azmoun,01/01/1995,nan,nan,37.0,bayer 04 leverkusen,attack,2.2
mahmoud,dahoud,01/01/1996,15.0,51.0,106.0,borussia dortmund,midfield,2.4
benjamin,goller,01/01/1999,6.0,nan,nan,werder bremen,midfield,0.8
conor,noß,01/01/2001,nan,nan,6.0,bor. mönchengladbach,midfield,0.6
dong-jun,lee,01/02/1997,nan,nan,0.0,hertha bsc,attack,0.7
patrick,osterhage,01/02/2000,nan,nan,32.0,vfl bochum,midfield,1.0
maximilian,philipp,01/03/1994,nan,69.0,38.0,vfl wolfsburg,midfield,2.0
niklas,schmidt,01/03/1998,nan,nan,nan,werder bremen,midfield,1.0
sebastian,polter,01/04/1991,8.0,nan,108.0,fc schalke 04,attack,1.8
philipp,pentke,01/05/1985,31.0,18.0,6.0,tsg hoffenheim,goal,0.8
florian,flick,01/05/2000,nan,nan,nan,fc schalke 04,midfield,1.0
krzysztof,piatek,01/07/1995,27.0,34.0,nan,hertha bsc,attack,1.7
anthony,caci,01/07/1997,nan,nan,nan,1. fsv mainz 05,defense,1.6
goncalo,paciencia,01/08/1994,64.0,-6.0,48.0,eintracht frankfurt,attack,1.5
christoph,baumgartner,01/08/1999,107.0,120.0,148.0,tsg hoffenheim,midfield,3.2
mads,pedersen,01/09/1996,nan,3.0,72.0,fc augsburg,defense,1.4
luca,kilian,01/09/1999,19.0,-2.0,109.0,1. fc köln,defense,1.8
filip,kostic,01/11/1992,139.0,158.0,177.0,eintracht frankfurt,midfield,3.8
nordi,mukiele,01/11/1997,105.0,96.0,87.0,rb leipzig,defense,2.2
elvis,rexhbecaj,01/11/1997,28.0,33.0,76.0,vfl wolfsburg,midfield,1.6
lukas,petkov,01/11/2000,nan,nan,nan,fc augsburg,midfield,0.7
nico,schlotterbeck,01/12/1999,13.0,50.0,267.0,borussia dortmund,defense,4.5
gabriel,vidovic,01/12/2003,nan,nan,6.0,bayern münchen,midfield,0.5
timothy,fosu-mensah,02/01/1998,nan,11.0,8.0,bayer 04 leverkusen,defense,1.4
maxime,awoudja,02/02/1998,nan,nan,nan,vfb stuttgart,defense,0.5
edmond,tapsoba,02/02/1999,57.0,107.0,97.0,bayer 04 leverkusen,defense,2.7
simon,terodde,02/03/1988,42.0,nan,nan,fc schalke 04,attack,2.4
fabian,bredlow,02/03/1995,nan,13.0,22.0,vfb stuttgart,goal,0.7
mateu,morey,02/03/2000,2.0,24.0,nan,borussia dortmund,defense,1.7
timo,schlieck,02/03/2006,nan,nan,nan,rb leipzig,goal,0.5
janik,haberer,02/04/1994,38.0,-5.0,70.0,1. fc union berlin,midfield,1.7
josip,stanisic,02/04/2000,nan,nan,55.0,bayern münchen,defense,1.5
marco,john,02/04/2002,nan,18.0,8.0,tsg hoffenheim,defense,1.0
janis,blaswich,02/05/1991,nan,nan,nan,rb leipzig,goal,0.7
julian,brandt,02/05/1996,94.0,16.0,189.0,borussia dortmund,midfield,3.8
blendi,idrizi,02/05/1998,nan,nan,nan,fc schalke 04,midfield,1.0
mesut,kesik,02/05/2003,nan,nan,nan,hertha bsc,midfield,0.5
oliver,baumann,02/06/1990,146.0,153.0,231.0,tsg hoffenheim,goal,3.2
alexander,schwolow,02/06/1992,127.0,122.0,114.0,fc schalke 04,goal,2.3
jordi,osei-tutu,02/10/1998,nan,nan,nan,vfl bochum,midfield,1.5
alphonso,davies,02/11/2000,116.0,30.0,116.0,bayern münchen,defense,3.4
konstantinos,stafylidis,02/12/1993,6.0,nan,76.0,vfl bochum,defense,1.6
leandro,barreiro,03/01/2000,21.0,48.0,97.0,1. fsv mainz 05,midfield,1.6
kevin,behrens,03/02/1991,nan,nan,67.0,1. fc union berlin,attack,1.6
mohamed,simakan,03/05/2000,nan,nan,137.0,rb leipzig,defense,3.0
mario,götze,03/06/1992,23.0,nan,nan,eintracht frankfurt,midfield,3.6
lukas,klostermann,03/06/1996,118.0,59.0,105.0,rb leipzig,defense,2.6
kerem,demirbay,03/07/1993,57.0,45.0,126.0,bayer 04 leverkusen,midfield,2.4
kevin,möhwald,03/07/1993,3.0,47.0,26.0,1. fc union berlin,midfield,1.4
denis,huseinbasic,03/07/2001,nan,nan,nan,1. fc köln,midfield,0.7
sven,ulreich,03/08/1988,4.0,nan,22.0,bayern münchen,goal,0.8
florian,dietz,03/08/1998,nan,nan,nan,1. fc köln,attack,0.5
niklas,süle,03/09/1995,29.0,39.0,148.0,borussia dortmund,defense,3.6
henri,koudossou,03/09/1999,nan,nan,nan,fc augsburg,midfield,0.5
renato,steffen,03/11/1991,82.0,73.0,29.0,vfl wolfsburg,midfield,1.7
anthony,jung,03/11/1991,nan,nan,nan,werder bremen,defense,1.5
willi,orban,03/11/1992,48.0,139.0,176.0,rb leipzig,defense,3.5
marcus,ingvartsen,04/01/1996,43.0,24.0,70.0,1. fsv mainz 05,attack,1.6
nan,nan,04/01/1997,nan,nan,nan,rb leipzig,defense,3.0
odilon,kossounou,04/01/2001,nan,nan,83.0,bayer 04 leverkusen,defense,1.9
frederik,winther,04/01/2001,nan,nan,4.0,fc augsburg,defense,0.7
philipp,förster,04/02/1995,nan,33.0,43.0,vfl bochum,midfield,1.5
zidan,sertdemir,04/02/2005,nan,nan,6.0,bayer 04 leverkusen,midfield,0.7
angelo,stiller,04/04/2001,nan,nan,92.0,tsg hoffenheim,midfield,1.7
marcel,wenig,04/05/2004,nan,nan,nan,eintracht frankfurt,midfield,0.6
robert,gumny,04/06/1998,nan,12.0,44.0,fc augsburg,defense,1.2
benjamin,hübner,04/07/1989,75.0,nan,40.0,tsg hoffenheim,defense,1.8
daley,sinkgraven,04/07/1995,31.0,31.0,32.0,bayer 04 leverkusen,defense,1.5
nan,nan,04/07/1999,nan,nan,nan,eintracht frankfurt,defense,2.2
frederik,rönnow,04/08/1992,55.0,42.0,40.0,1. fc union berlin,goal,2.3
kristian,pedersen,04/08/1994,nan,nan,nan,1. fc köln,defense,1.5
marvin,pieringer,04/10/1999,nan,nan,nan,fc schalke 04,attack,0.8
aster,vranckx,04/10/2002,nan,nan,67.0,vfl wolfsburg,midfield,1.8
tim,lemperle,05/02/2002,nan,nan,34.0,1. fc köln,midfield,1.0
silvan,widmer,05/03/1993,nan,nan,164.0,1. fsv mainz 05,defense,2.5
tim,maciejewski,05/03/2001,nan,nan,nan,1. fc union berlin,midfield,0.5
julian,eitschberger,05/03/2004,nan,nan,nan,hertha bsc,defense,0.5
jurgen,ekkelenkamp,05/04/2000,nan,nan,51.0,hertha bsc,midfield,1.5
can,bozdogan,05/04/2001,nan,-9.0,nan,fc schalke 04,midfield,1.5
jakub,kaminski,05/06/2002,nan,nan,nan,vfl wolfsburg,midfield,2.0
fabio,chiarodia,05/06/2005,nan,nan,nan,werder bremen,defense,0.5
ajdin,hrustic,05/07/1996,nan,16.0,63.0,eintracht frankfurt,midfield,1.5
alou,kuol,05/07/2001,nan,nan,nan,vfb stuttgart,attack,0.8
daichi,kamada,05/08/1996,32.0,105.0,94.0,eintracht frankfurt,midfield,2.4
exequiel,palacios,05/10/1998,7.0,17.0,87.0,bayer 04 leverkusen,midfield,2.4
ondrej,duda,05/12/1994,nan,65.0,58.0,1. fc köln,midfield,1.5
alexander,sörloth,05/12/1995,nan,56.0,nan,rb leipzig,attack,2.0
randal,kolo muani,05/12/1998,nan,nan,nan,eintracht frankfurt,attack,2.6
jerome,roussillon,06/01/1993,44.0,32.0,79.0,vfl wolfsburg,defense,1.6
djibril,sow,06/02/1997,18.0,56.0,144.0,eintracht frankfurt,midfield,2.6
kevin-prince,boateng,06/03/1987,nan,nan,17.0,hertha bsc,midfield,1.5
maxence,lacroix,06/04/2000,nan,127.0,83.0,vfl wolfsburg,defense,2.6
peter,gulacsi,06/05/1990,166.0,166.0,231.0,rb leipzig,goal,4.2
ilia,gruev,06/05/2000,nan,1.0,nan,werder bremen,midfield,1.3
matteo,bignetti,06/05/2004,nan,nan,nan,eintracht frankfurt,goal,0.5
anderson,lucoqui,06/07/1997,nan,32.0,29.0,1. fsv mainz 05,defense,1.2
mateo,klimowicz,06/07/2000,nan,13.0,23.0,vfb stuttgart,midfield,1.2
abdenego,nankishi,06/07/2002,nan,nan,nan,werder bremen,midfield,0.6
marcus,thuram,06/08/1997,147.0,88.0,50.0,bor. mönchengladbach,attack,3.2
raphael,framberger,06/09/1995,14.0,-16.0,38.0,fc augsburg,defense,0.7
nan,nan,06/10/1998,nan,nan,nan,vfb stuttgart,midfield,2.6
tim,oermann,06/10/2003,nan,nan,nan,vfl bochum,defense,0.5
andré,silva,06/11/1995,91.0,265.0,124.0,rb leipzig,attack,4.6
abdoulaye,kamara,06/11/2004,nan,nan,nan,borussia dortmund,midfield,0.5
nils,petersen,06/12/1988,69.0,59.0,58.0,sc freiburg,attack,1.6
gregor,kobel,06/12/1997,nan,166.0,206.0,borussia dortmund,goal,3.5
oscar,fraulo,06/12/2003,nan,nan,nan,bor. mönchengladbach,midfield,0.5
christopher,antwi-adjei,07/02/1994,2.0,nan,62.0,vfl bochum,midfield,1.4
jonas,wind,07/02/1999,nan,nan,67.0,vfl wolfsburg,attack,2.3
omar,marmoush,07/02/1999,nan,nan,69.0,vfl wolfsburg,attack,1.6
marvin,ducksch,07/03/1994,nan,nan,nan,werder bremen,attack,2.4
lee,buchanan,07/03/2001,nan,nan,nan,werder bremen,defense,1.2
tony,jantschke,07/04/1990,54.0,13.0,12.0,bor. mönchengladbach,defense,1.0
vincenzo,grifo,07/04/1993,86.0,147.0,247.0,sc freiburg,midfield,4.5
oliver,burke,07/04/1997,nan,nan,nan,werder bremen,attack,1.4
dani,olmo,07/05/1998,29.0,123.0,99.0,rb leipzig,midfield,4.0
kevin,paredes,07/05/2003,nan,nan,4.0,vfl wolfsburg,midfield,0.8
tanguy,nianzou,07/06/2002,nan,-2.0,46.0,bayern münchen,defense,1.7
milos,pantovic,07/07/1996,nan,nan,67.0,1. fc union berlin,midfield,1.4
sasa,kalajdzic,07/07/1997,nan,143.0,68.0,vfb stuttgart,attack,3.4
moussa,diaby,07/07/1999,102.0,76.0,220.0,bayer 04 leverkusen,attack,5.0
tim,skarke,07/09/1996,nan,nan,nan,1. fc union berlin,midfield,1.4
delano,burgzorg,07/11/1998,nan,nan,9.0,1. fsv mainz 05,attack,1.0
danny,latza,07/12/1989,24.0,18.0,nan,fc schalke 04,midfield,1.6
arne,maier,08/01/1999,-1.0,-5.0,83.0,fc augsburg,midfield,1.6
christian,groß,08/02/1989,18.0,4.0,nan,werder bremen,midfield,1.6
joshua,kimmich,08/02/1995,191.0,151.0,189.0,bayern münchen,midfield,6.5
luca,wollschläger,08/02/2003,nan,nan,nan,hertha bsc,attack,0.5
benjamin,leneis,08/03/1999,nan,nan,nan,fc augsburg,goal,0.5
karim,bellarabi,08/04/1990,77.0,19.0,73.0,bayer 04 leverkusen,attack,2.0
ridle,baku,08/04/1998,36.0,137.0,119.0,vfl wolfsburg,midfield,2.4
finn,ole becker,08/06/2000,nan,nan,nan,tsg hoffenheim,midfield,1.2
dikeni,salifou,08/06/2003,nan,nan,nan,werder bremen,midfield,0.5
kevin,trapp,08/07/1990,93.0,142.0,245.0,eintracht frankfurt,goal,3.8
ivan,ordets,08/07/1992,nan,nan,nan,vfl bochum,defense,1.6
vladimir,darida,08/08/1990,68.0,44.0,50.0,hertha bsc,midfield,1.6
benjamin,uphoff,08/08/1993,nan,nan,0.0,sc freiburg,goal,0.7
malick,thiaw,08/08/2001,nan,-18.0,nan,fc schalke 04,defense,1.8
fisnik,asllani,08/08/2002,nan,nan,4.0,tsg hoffenheim,attack,0.5
jonas,urbig,08/08/2003,nan,nan,nan,1. fc köln,goal,0.5
jamie,bynoe-gittens,08/08/2004,nan,nan,nan,borussia dortmund,attack,1.7
alexander,hack,08/09/1993,11.0,36.0,134.0,1. fsv mainz 05,defense,2.2
lucas,alario,08/10/1992,66.0,78.0,84.0,eintracht frankfurt,attack,3.6
dejan,ljubicic,08/10/1997,nan,nan,157.0,1. fc köln,midfield,2.6
jens,stage,08/11/1996,nan,nan,nan,werder bremen,midfield,1.8
maximilian,eggestein,08/12/1996,31.0,35.0,122.0,sc freiburg,midfield,2.2
andreas,voglsammer,09/01/1992,nan,26.0,65.0,1. fc union berlin,attack,1.5
grischa,prömel,09/01/1995,7.0,67.0,163.0,tsg hoffenheim,midfield,2.8
chris,führich,09/01/1998,nan,nan,88.0,vfb stuttgart,midfield,1.7
piero,hincapie,09/01/2002,nan,nan,114.0,bayer 04 leverkusen,defense,2.2
ricardo,pepi,09/01/2003,nan,nan,-4.0,fc augsburg,attack,1.3
thomas,kastanaras,09/01/2003,nan,nan,nan,vfb stuttgart,attack,0.7
wataru,endo,09/02/1993,nan,139.0,153.0,vfb stuttgart,midfield,2.8
niclas,füllkrug,09/02/1993,42.0,33.0,nan,werder bremen,attack,2.2
sheraldo,becker,09/02/1995,-2.0,53.0,131.0,1. fc union berlin,attack,2.4
maximilian,bauer,09/02/2000,nan,nan,36.0,fc augsburg,defense,1.3
mehmet,aydin,09/02/2002,nan,nan,nan,fc schalke 04,midfield,0.8
nicolas,höfler,09/03/1990,50.0,57.0,186.0,sc freiburg,midfield,3.0
genki,haraguchi,09/05/1991,nan,nan,80.0,1. fc union berlin,midfield,1.5
hugo,siquet,09/07/2002,nan,nan,2.0,sc freiburg,defense,1.0
manuel,riemann,09/09/1988,nan,nan,255.0,vfl bochum,goal,3.6
felix,uduokhai,09/09/1997,38.0,70.0,18.0,fc augsburg,defense,1.6
fredrik,jensen,09/09/1997,12.0,10.0,15.0,fc augsburg,midfield,1.0
kevin,kampl,09/10/1990,57.0,82.0,101.0,rb leipzig,midfield,2.4
ivan,sunjic,09/10/1996,nan,nan,nan,hertha bsc,midfield,1.6
tarsis,bonga,10/01/1997,nan,nan,6.0,vfl bochum,attack,0.6
