first_name,last_name,dob,points_2019,points_2020,points_2021,club,position,price,prediction
sardar,azmoun,01/01/1995,0.0,0.0,37.0,bayer 04 leverkusen,attack,2.2,17.664524722198465
mahmoud,dahoud,01/01/1996,15.0,51.0,106.0,borussia dortmund,midfield,2.4,69.78121459131805
benjamin,goller,01/01/1999,6.0,0.0,0.0,werder bremen,midfield,0.8,1.2461437830727382
conor,noß,01/01/2001,0.0,0.0,6.0,bor. mönchengladbach,midfield,0.6,2.86451752251867
dong-jun,lee,01/02/1997,0.0,0.0,0.0,hertha bsc,attack,0.7,0.0
patrick,osterhage,01/02/2000,0.0,0.0,32.0,vfl bochum,midfield,1.0,15.27742678676624
maximilian,philipp,01/03/1994,0.0,69.0,38.0,vfl wolfsburg,midfield,2.0,39.86933929498372
niklas,schmidt,01/03/1998,0.0,0.0,0.0,werder bremen,midfield,1.0,0.0
sebastian,polter,01/04/1991,8.0,0.0,108.0,fc schalke 04,attack,1.8,53.22284044943304
philipp,pentke,01/05/1985,31.0,18.0,6.0,tsg hoffenheim,goal,0.8,14.97094315162026
florian,flick,01/05/2000,0.0,0.0,0.0,fc schalke 04,midfield,1.0,0.0
krzysztof,piatek,01/07/1995,27.0,34.0,0.0,hertha bsc,attack,1.7,16.31389962547601
anthony,caci,01/07/1997,0.0,0.0,0.0,1. fsv mainz 05,defense,1.6,0.0
goncalo,paciencia,01/08/1994,64.0,-6.0,48.0,eintracht frankfurt,attack,1.5,34.31900183851664
christoph,baumgartner,01/08/1999,107.0,120.0,148.0,tsg hoffenheim,midfield,3.2,130.66777024176287
mads,pedersen,01/09/1996,0.0,3.0,72.0,fc augsburg,defense,1.4,35.31887961742834
luca,kilian,01/09/1999,19.0,-2.0,109.0,1. fc köln,defense,1.8,55.35507740734998
filip,kostic,01/11/1992,139.0,158.0,177.0,eintracht frankfurt,midfield,3.8,163.12485017491213
nordi,mukiele,01/11/1997,105.0,96.0,87.0,rb leipzig,defense,2.2,93.57243939083111
